word,answer
ability (noun),"əˈbɪl.ə.ti
the physical or mental power or skill needed to do something."
about (adjective),"əˈbaʊt
to be going to do something very soon."
above (adverb),"əˈbʌv
When used in a piece of writing, ""above"" means higher on the page, or on a previous page."
abroad (adverb),"əˈbrɔːd
in or to a foreign country or countries."
absent (adjective),"ˈæb.sənt
not in the place where you are expected to be, especially at school or work."
absolutely (adverb),"ˌæb.səˈluːt.li
completely."
accent (noun),"ˈæk.sənt
the way in which people in a particular area, country, or social group pronounce words."
accept (verb),"əkˈsept
to agree to take something."
acceptable (adjective),"əkˈsept.ə.bəl
satisfactory and able to be agreed to or approved of."
access (noun),"ˈæk.ses
the method or possibility of getting near to a place or person."
accidentally (adverb),"ˌæk.sɪˈden.təl.i
by chance or by mistake."
accommodation (noun),"əˌkɒm.əˈdeɪ.ʃən
a place to stay or live."
accompany (verb),"əˈkʌm.pə.ni
to go with someone or to be provided or exist at the same time as something."
according to (preposition),"əˈkɔː.dɪŋ ˌtuː
as stated by."
account (noun),"əˈkaʊnt
an arrangement with a bank to keep your money there and to allow you to take it out when you need to."
accountant (noun),"əˈkaʊn.tənt
someone who keeps or examines the records of money received, paid, and owed by a company or person."
accurate (adjective),"ˈæk.jə.rət
correct, exact, and without any mistakes."
accurately (adverb),"ˈæk.jə.rət.li
in a way that is correct, exact, and without any mistakes."
achieve (verb),"əˈtʃiːv
to succeed in finishing something or reaching an aim, especially after a lot of work or effort."
achievement (noun),"əˈtʃiːv.mənt
something very good and difficult that you have succeeded in doing."
active (adjective),"ˈæk.tɪv
busy with a particular activity."
admire (verb),"ədˈmaɪər
to find someone or something attractive and pleasant to look at."
admit (verb),"ədˈmɪt
to agree that something is true, especially unwillingly."
advanced (adjective),"ədˈvɑːnst
modern and well developed."
advantage (noun),"ədˈvɑːn.tɪdʒ
a condition giving a greater chance of success."
advertise (verb),"ˈæd.və.taɪz
to make something known generally or in public, especially in order to sell it."
advise (verb),"ədˈvaɪz
to give someone advice."
afford (verb),"əˈfɔːd
to be able to buy or do something because you have enough money or time."
after (conjunction),"ˈɑːf.tər
at a time that is later than another event."
agency (noun),"ˈeɪ.dʒən.si
a business that represents one group of people when dealing with another group."
ahead (adverb),"əˈhed
in front."
aim (noun),"eɪm
a result that your plans or actions are intended to achieve."
aim (verb),"eɪm
to intend."
airline (noun),"ˈeə.laɪn
a business that operates regular services for carrying passengers and/or goods by aircraft."
alcoholic (adjective),"ˌæl.kəˈhɒl.ɪk
containing alcohol."
alike (adjective),"əˈlaɪk
similar to each other."
alive (adjective),"əˈlaɪv
living, not dead."
allow (verb),"əˈlaʊ
to give permission for someone to do something, or to not prevent something from happening."
