word,answer
accelerate (verb),"əkˈsel.ə.reɪt
When a vehicle or its driver accelerates, the speed of the vehicle increases."
accountable (adjective),"əˈkaʊn.tə.bəl
Someone who is accountable is completely responsible for what they do and must be able to give a satisfactory reason for it."
accumulate (verb),"əˈkjuː.mjə.leɪt
to collect a large number of things over a long period of time."
accumulation (noun),"əˌkjuː.mjəˈleɪ.ʃən
an amount of something that has been collected."
acre (noun),"ˈeɪ.kər
a unit for measuring area, equal to 4,047 square metres or 4,840 square yards."
address (verb),"əˈdres
to speak or write to someone."
adjacent (adjective),"əˈdʒeɪ.sənt
very near, next to, or touching."
adolescent (noun),"ˌæd.əˈles.ənt
a young person who is developing into an adult."
adverse (adjective),"ˈæd.vɜːs
having a negative or harmful effect on something."
advocate (verb),"ˈæd.və.keɪt
to publicly support or suggest an idea, development, or way of doing something."
albeit (conjunction),"ɔːlˈbiː.ɪt
although."
alcoholic (noun),"ˌæl.kəˈhɒl.ɪk
a person who is unable to give up the habit of drinking alcohol very often and in large amounts."
alert (verb),"əˈlɜːt
to warn someone of a possibly dangerous situation."
allege (verb),"əˈledʒ
to say that someone has done something illegal or wrong without giving proof."
allegedly (adverb),"əˈledʒ.ɪd.li
used when something illegal or wrong is said to have been done, but has not been proved."
alliance (noun),"əˈlaɪ.əns
a group of countries, political parties, or people who have agreed to work together because of shared interests or aims."
allocation (noun),"ˌæl.əˈkeɪ.ʃən
the process of giving someone their part of a total amount of something to use in a particular way."
ally (noun),"ˈæl.aɪ
a country that has agreed officially to give help and support to another one, especially during a war."
alone (adjective),"əˈləʊn
without any others."
amend (verb),"əˈmend
to change the words of a text, especially a law or a legal document."
amendment (noun),"əˈmend.mənt
a change or changes made to the words of a text."
analogy (noun),"əˈnæl.ə.dʒi
a comparison between things that have similar features, often used to help explain a principle or idea."
anchor (noun),"ˈæŋ.kər
a heavy metal object, usually shaped like a cross with curved arms, on a strong rope or chain, that is dropped from a boat into the water to prevent the boat from moving away."
anchor (verb),"ˈæŋ.kər
to lower an anchor into the water in order to stop a boat from moving away."
anonymous (adjective),"əˈnɒn.ɪ.məs
made or done by someone whose name is not known or not made public."
arbitrary (adjective),"ˈɑː.bɪ.trər.i
based on chance rather than being planned or based on reason."
aspiration (noun),"ˌæs.pɪˈreɪ.ʃən
something that you hope to achieve."
assault (verb),"əˈsɒlt
to attack someone violently."
assault (noun),"əˈsɒlt
a violent attack."
assemble (verb),"əˈsem.bəl
to come together in a single place or bring parts together in a single group."
assembly (noun),"əˈsem.bli
a group of people, especially one that meets regularly for a particular purpose, such as government, or, more generally, the process of coming together, or the state of being together."
assert (verb),"əˈsɜːt
to behave in a way that expresses your confidence, importance, or power and earns you respect from others."
attribute (noun),"ˈæt.rɪ.bjuːt
a quality or characteristic that someone or something has."
back (verb),"bæk
to give support to someone or something with money or words."
backing (noun),"ˈbæk.ɪŋ
support, especially money, that someone gives to a person or plan."
being (noun),"ˈbiː.ɪŋ
a person or thing that exists."
bet (noun),"bet
an amount of money that you risk on the result of an event or a competition, such as a horse race."
bias (noun),"ˈbaɪ.əs
the action of supporting or opposing a particular person or thing in an unfair way, because of allowing personal opinions to influence your judgment."
bid (noun),"bɪd
an offer of a particular amount of money for something that is for sale."
bid (verb),"bɪd
to offer a particular amount of money for something that is for sale and compete against other people to buy it, especially at a public sale of goods or property."
bind (verb),"baɪnd
to tie something or someone tightly or to fasten something."
blend (noun),"blend
a mixture of different things or styles."
blow (noun),"bləʊ
a hard hit with a hand or a weapon."
bubble (verb),"ˈbʌb.əl
to produce bubbles."
bureaucracy (noun),"bjʊəˈrɒk.rə.si
a system for controlling or managing a country, company, or organization that is operated by a large number of officials employed to follow rules carefully."
burial (noun),"ˈber.i.əl
the act of putting a dead body into the ground, or the ceremony connected with this."
capitalism (noun),"ˈkæp.ɪ.təl.ɪ.zəm
an economic and political system in which property, business, and industry are controlled by private owners rather than by the state, with the purpose of making a profit."
capitalist (adjective),"ˈkæp.ɪ.təl.ɪst
based on the system of capitalism (= an economic and political system in which property, business, and industry are controlled by private owners rather than by the state, with the purpose of making a profit)."
cargo (noun),"ˈkɑː.ɡəʊ
the goods carried by a ship, aircraft, or other large vehicle."
carriage (noun),"ˈkær.ɪdʒ
a vehicle with four wheels that is usually pulled by horses and was used mainly in the past."
carve (verb),"kɑːv
to make something by cutting into especially wood or stone, or to cut into the surface of stone, wood, etc.."
cast (verb),"kɑːst
to choose actors to play particular parts in a play, film, or show."
casualty (noun),"ˈkæʒ.ju.əl.ti
a person injured or killed in a serious accident or war."
centre (noun),"ˈsen.tər
in politics, the people in a group who hold opinions that are not extreme but are between two opposites."
channel (verb),"ˈtʃæn.əl
to direct something into a particular place or situation."
characteristic (adjective),"ˌkær.ək.təˈrɪs.tɪk
typical of a person or thing."
charm (verb),"tʃɑːm
to attract someone or persuade someone to do something because of your charm."
cheer (noun),"tʃɪər
a loud shout of approval or encouragement."
chronic (adjective),"ˈkrɒn.ɪk
(especially of a disease or something bad) continuing for a long time."
circle (verb),"ˈsɜː.kəl
to move in a circle, often around something."
circuit (noun),"ˈsɜː.kɪt
a regular pattern of visits or the places visited."
civilian (noun),"sɪˈvɪl.jən
a person who is not a member of the police or the armed forces."
civilian (adjective),"sɪˈvɪl.jən
relating to a person who is not a member of the police or the armed forces."
clarity (noun),"ˈklær.ə.ti
the quality of being clear and easy to understand."
clash (verb),"klæʃ
to fight or argue."
clash (noun),"klæʃ
a fight or argument between people."
classical (adjective),"ˈklæs.ɪ.kəl
traditional in style or form, or based on methods developed over a long period of time, and considered to be of lasting value."
classification (noun),"ˌklæs.ɪ.fɪˈkeɪ.ʃən
the act or process of dividing things into groups according to their type."
cling (verb),"klɪŋ
to stick onto or hold something or someone tightly, or to refuse to stop holding it, him, or her."
closure (noun),"ˈkləʊ.ʒər
the fact of a business, organization, etc. stopping operating."
coin (verb),"kɔɪn
to invent a new word or expression, or to use one in a particular way for the first time."
coincide (verb),"ˌkəʊ.ɪnˈsaɪd
to happen at or near the same time."
combat (verb),"kəmˈbæt
to try to stop something unpleasant or harmful from happening or increasing."
combat (noun),"ˈkɒm.bæt
a fight, especially during a war."
comfort (verb),"ˈkʌm.fət
to make someone feel better when they are sad or worried."
commander (noun),"kəˈmɑːn.dər
an officer who is in charge of a military operation, or an officer of a particular rank in many countries' naval forces."
commence (verb),"kəˈmens
to begin something."
complexity (noun),"kəmˈplek.sə.ti
the state of having many parts and being difficult to understand or find an answer to."
conceal (verb),"kənˈsiːl
to prevent something from being seen or known about."
concede (verb),"kənˈsiːd
to admit, often unwillingly, that something is true."
conceive (verb),"kənˈsiːv
to imagine something."
conception (noun),"kənˈsep.ʃən
an idea of what something or someone is like, or a basic understanding of a situation or a principle."
concession (noun),"kənˈseʃ.ən
something that is allowed or given up, often in order to end a disagreement, or the act of allowing or giving this."
conclusion (noun),"kənˈkluː.ʒən
the final part of something."
condemn (verb),"kənˈdem
to criticize something or someone strongly, usually for moral reasons."
condition (verb),"kənˈdɪʃ.ən
to train or influence a person or animal mentally so that they do or expect a particular thing without thinking about it."
confine (verb),"kənˈfaɪn
to limit an activity, person, or problem in some way."
confront (verb),"kənˈfrʌnt
to face, meet, or deal with a difficult situation or person."
confrontation (noun),"ˌkɒn.frʌnˈteɪ.ʃən
a fight or argument."
conscience (noun),"ˈkɒn.ʃəns
the part of you that judges how moral your own actions are and makes you feel guilty about bad things that you have done or things you feel responsible for."
consecutive (adjective),"kənˈsek.jə.tɪv
Consecutive events, numbers, etc. follow one after another without an interruption."
consensus (noun),"kənˈsen.səs
a generally accepted opinion or decision among a group of people."
consent (verb),"kənˈsent
to agree to do something, or to allow someone to do something."
consistent (adjective),"kənˈsɪs.tənt
always behaving or happening in a similar, especially positive, way."
consistently (adverb),"kənˈsɪs.tənt.li
in a way that does not change."
constitutional (adjective),"ˌkɒn.stɪˈtʃuː.ʃən.əl
allowed by or contained in a constitution."
constraint (noun),"kənˈstreɪnt
something that controls what you do by keeping you within particular limits."
consultation (noun),"ˌkɒn.sʌlˈteɪ.ʃən
a meeting to discuss something or to get advice."
contemplate (verb),"ˈkɒn.təm.pleɪt
to spend time considering a possible future action, or to consider one particular thing for a long time in a serious and quiet way."
contempt (noun),"kənˈtempt
a strong feeling of disliking and having no respect for someone or something."
contradiction (noun),"ˌkɒn.trəˈdɪk.ʃən
the fact of something being the complete opposite of something else or very different from something else, so that one of them must be wrong."
contrast (verb),"kənˈtrɑːst
to compare two people or things in order to show the differences between them."
conversion (noun),"kənˈvɜː.ʃən
the process of converting something from one thing to another."
convict (verb),"kənˈvɪkt
to decide officially in a law court that someone is guilty of a crime."
conviction (noun),"kənˈvɪk.ʃən
the fact of officially being found to be guilty of a particular crime, or the act of officially finding someone guilty."
core (noun),"kɔːr
the basic and most important part of something."
corresponding (adjective),"ˌkɒr.ɪˈspɒn.dɪŋ
similar to, connected with, or caused by something else."
counselling (noun),"ˈkaʊn.səl.ɪŋ
the job or process of listening to someone and giving that person advice about their problems."
counsellor (noun),"ˈkaʊn.səl.ər
someone who is trained to listen to people and give them advice about their problems."
count (noun),"kaʊnt
the act of counting, or the total number of things counted."
counter (adverb),"ˈkaʊn.tər
in a way that opposes something."
crack (noun),"kræk
a very narrow space between parts of something."
credibility (noun),"ˌkred.əˈbɪl.ə.ti
the fact that someone can be believed or trusted."
creep (verb),"kriːp
to move slowly, quietly, and carefully, usually in order to avoid being noticed."
crude (adjective),"kruːd
simple and not skilfully done or made."
crush (noun),"krʌʃ
a strong but temporary feeling of liking someone."
crush (verb),"krʌʃ
to press something very hard so that it is broken or its shape is destroyed."
crystal (noun),"ˈkrɪs.təl
transparent glass of very high quality, usually with its surface cut into delicate patterns."
custody (noun),"ˈkʌs.tə.di
the legal right or duty to care for someone or something, especially a child after its parents have separated or died."
cynical (adjective),"ˈsɪn.ɪ.kəl
believing that people are only interested in themselves and are not sincere."
debate (verb),"dɪˈbeɪt
to discuss a subject in a formal way."
deem (verb),"diːm
to consider or judge something in a particular way."
defy (verb),"dɪˈfaɪ
to refuse to obey a person, decision, law, situation, etc.."
delegate (verb),"ˈdel.ɪ.ɡeɪt
to give a particular job, duty, right, etc. to someone else so that they do it for you."
delegation (noun),"ˌdel.ɪˈɡeɪ.ʃən
a group of delegates."
denial (noun),"dɪˈnaɪ.əl
a statement that something is not true or does not exist."
dependence (noun),"dɪˈpen.dəns
the situation in which you need something or someone all the time, especially in order to continue existing or operating."
depict (verb),"dɪˈpɪkt
to represent or show something in a picture or story."
deposit (noun),"dɪˈpɒz.ɪt
a substance or layer that is left, usually after a liquid is removed."
desperate (adjective),"ˈdes.pər.ət
very serious or bad."
devise (verb),"dɪˈvaɪz
to invent a plan, system, object, etc., usually using your intelligence or imagination."
diagnose (verb),"ˈdaɪ.əɡ.nəʊz
to recognize and name the exact character of a disease or a problem, by examining it."
diagnosis (noun),"ˌdaɪ.əɡˈnəʊ.sɪs
a judgment about what a particular illness or problem is, made after examining it."
dignity (noun),"ˈdɪɡ.nə.ti
calm, serious, and controlled behaviour that makes people respect you."
disclose (verb),"dɪˈskləʊz
to make something known publicly, or to show something that was hidden."
discretion (noun),"dɪˈskreʃ.ən
the ability to behave without causing embarrassment or attracting too much attention, especially by keeping information secret."
disorder (noun),"dɪˈsɔː.dər
a state of untidiness or lack of organization."
dispute (verb),"dɪˈspjuːt
to disagree with something that someone says."
dispute (noun),"dɪˈspjuːt
an argument or disagreement, especially an official one between, for example, workers and employers or two countries with a common border."
dissolve (verb),"dɪˈzɒlv
(of a solid) to be absorbed by a liquid, especially when mixed, or (of a liquid) to absorb a solid."
disturbing (adjective),"dɪˈstɜː.bɪŋ
making you feel worried or upset."
divert (verb),"daɪˈvɜːt
to cause something or someone to change direction."
dominance (noun),"ˈdɒm.ɪ.nəns
the quality of being more important, strong, or successful than anything else of the same type."
donor (noun),"ˈdəʊ.nər
a person who gives some of their blood or a part of their body to help someone who is ill."
drain (noun),"dreɪn
a pipe or channel that is used to carry away waste matter and water from a building, or an opening in the road that rain water can flow down."
drain (verb),"dreɪn
If you drain something, you remove the liquid from it, usually by pouring it away or allowing it to flow away, and if something drains, liquid flows away or out of it."
drift (verb),"drɪft
to move slowly, especially as a result of outside forces, with no control over direction."
drought (noun),"draʊt
a long period when there is little or no rain."
dump (verb),"dʌmp
to put down or drop something in a careless way."
echo (noun),"ˈek.əʊ
a sound that is heard after it has been reflected off a surface such as a wall or a cliff."
echo (verb),"ˈek.əʊ
If a sound echoes or a place echoes with a sound, you hear the sound again because you are in a large, empty space."
elaborate (adjective),"iˈlæb.ər.ət
containing a lot of careful detail or many detailed parts."
embody (verb),"ɪmˈbɒd.i
to represent a quality or an idea exactly."
embrace (noun),"ɪmˈbreɪs
the act of holding someone tightly with both arms to express love, liking, or sympathy, or when greeting or leaving someone."
empirical (adjective),"ɪmˈpɪr.ɪ.kəl
based on what is experienced or seen rather than on theory."
endorse (verb),"ɪnˈdɔːs
to make a public statement of your approval or support for something or someone."
entity (noun),"ˈen.tɪ.ti
something that exists apart from other things, having its own independent existence."
erupt (verb),"ɪˈrʌpt
When a volcano erupts, it explodes and flames and rocks come out of it."
essence (noun),"ˈes.əns
the basic or most important idea or quality of something."
ethic (noun),"ˈeθ.ɪk
a system of accepted beliefs that control behaviour, especially such a system based on morals."
ethical (adjective),"ˈeθ.ɪ.kəl
relating to beliefs about what is morally right and wrong."
execute (verb),"ˈek.sɪ.kjuːt
to kill someone as a legal punishment."
exile (noun),"ˈek.saɪl
the condition of someone being sent or kept away from their own country, village, etc., especially for political reasons."
expenditure (noun),"ɪkˈspen.dɪ.tʃər
the total amount of money that a government or person spends."
expire (verb),"ɪkˈspaɪər
If something that lasts for a fixed length of time expires, it comes to an end or stops being in use."
explicit (adjective),"ɪkˈsplɪs.ɪt
clear and exact."
explosive (noun),"ɪkˈspləʊ.sɪv
a substance or piece of equipment that can cause explosions."
explosive (adjective),"ɪkˈspləʊ.sɪv
exploding or able to explode easily."
extremist (noun),"ɪkˈstriː.mɪst
someone who has beliefs that most people think are unreasonable and unacceptable."
fake (noun),"feɪk
an object that is made to look real or valuable in order to deceive people."
fake (verb),"feɪk
to pretend that you have a feeling or illness."
fast (adverb),"fɑːst
firmly fixed."
